Make,Number.of.Engines,Weather.Condition,Broad.phase.of.flight,total_passengers,injury_rate,is_destroyed,Make_Model
Piper,1,VMC,,5.0,0.2,0.0,Piper — PA-32R-300
Piper,1,IMC,Approach,1.0,1.0,1.0,Piper — PA32R-301
Piper,1,VMC,Landing,5.0,0.0,0.0,Piper — PA-32
Cessna,1,VMC,Approach,5.0,1.0,1.0,Cessna — 172N
Beech,,,,6.0,0.0,0.0,Beech — 2000 (STARSHIP)
Cessna,1,VMC,Takeoff,4.0,1.0,1.0,Cessna — K172R
Cessna,1,VMC,Cruise,1.0,0.0,0.0,Cessna — 150
Cessna,1,VMC,Landing,2.0,0.0,0.0,Cessna — 208
Piper,,VMC,,1.0,0.0,0.0,Piper — PA-28-140
Piper,,VMC,,6.0,0.0,0.0,Piper — PA32R-301T
Aero Commander,,,,2.0,1.0,1.0,Aero Commander — 500S
Piper,,VMC,,4.0,0.0,0.0,Piper — PA-32R-300
Piper,1,VMC,Go-around,2.0,1.0,1.0,Piper — PA-28-140
Boeing,,IMC,,75.0,1.0,1.0,Boeing — 737-400
Piper,1,VMC,Go-around,2.0,0.0,0.0,Piper — PA-28RT-201
Cessna,1,VMC,Landing,2.0,0.0,0.0,Cessna — 185
Cessna,2,VMC,Takeoff,3.0,0.0,0.0,Cessna — 550
Boeing,2,VMC,Taxi,288.0,0.0,0.0,Boeing — 737-500
Boeing,2,VMC,Taxi,288.0,0.0,0.0,Boeing — 767-383ER
De Havilland,2,VMC,Cruise,18.0,0.05555555555555555,,De Havilland — DHC-6
Beech,2,VMC,Takeoff,12.0,1.0,1.0,Beech — 65
Ayres,1,VMC,,2.0,0.0,0.0,Ayres — AY-65
Piper,1,VMC,Cruise,1.0,0.0,0.0,Piper — PA-18-150
Boeing,,,,12.0,0.0,0.0,Boeing — B727-224
Boeing,,VMC,,164.0,1.0,1.0,Boeing — B757
Beech,2,IMC,Landing,16.0,0.0,0.0,Beech — 1900D
Cessna,,VMC,,4.0,1.0,1.0,Cessna — 337
Cessna,,VMC,,4.0,1.0,1.0,Cessna — 337
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — 185
Cessna,1,VMC,Maneuvering,4.0,0.75,1.0,Cessna — P206C
De Havilland,2,VMC,Standing,5.0,0.2,,De Havilland — DHC-6
McDonnell Douglas,2,VMC,Takeoff,144.0,0.027777777777777776,0.0,McDonnell Douglas — MD-88
