Make,Number.of.Engines,Weather.Condition,Broad.phase.of.flight,total_passengers,injury_rate,is_destroyed,Make_Model
Piper,1,VMC,Landing,2.0,0.0,0.0,Piper — PA-18-135
Beech,1,VMC,Landing,5.0,0.0,0.0,Beech — A36
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — 172P
Beech,2,VMC,Landing,3.0,0.0,0.0,Beech — 65-A90
Piper,1,VMC,Landing,1.0,0.0,0.0,Piper — PA-24-180
Beech,1,VMC,Landing,1.0,0.0,0.0,Beech — 23
Cessna,1,VMC,Takeoff,2.0,0.0,0.0,Cessna — 170 B
Beech,1,VMC,Approach,1.0,0.0,0.0,Beech — C35
Cessna,1,VMC,Takeoff,2.0,0.0,0.0,Cessna — 150H
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — 172N
Piper,1,VMC,Landing,1.0,0.0,0.0,Piper — PA-18-150
Cessna,1,VMC,Takeoff,1.0,0.0,1.0,Cessna — A188B
Piper,1,VMC,Takeoff,2.0,0.0,0.0,Piper — PA-28-161
Piper,1,VMC,Go-around,1.0,0.0,0.0,Piper — PA-28-181
Cessna,1,VMC,Landing,2.0,0.0,0.0,Cessna — 180A
Beech,2,VMC,Takeoff,1.0,0.0,0.0,Beech — B60
Piper,1,VMC,Approach,1.0,0.0,0.0,Piper — PA-18
Piper,1,VMC,Cruise,1.0,0.0,0.0,Piper — PA-28-180
Piper,2,VMC,Landing,1.0,0.0,0.0,Piper — PA-34-200T
Beech,1,VMC,Cruise,3.0,0.0,0.0,Beech — 36
Aeronca,1,VMC,Landing,1.0,0.0,0.0,Aeronca — 7AC
Beech,2,VMC,Maneuvering,5.0,1.0,1.0,Beech — E90B
Grumman,1,VMC,Maneuvering,1.0,0.0,1.0,Grumman — G-164A
Cessna,1,VMC,Go-around,1.0,0.0,0.0,Cessna — 172B
Piper,1,VMC,Takeoff,2.0,0.0,0.0,Piper — PA-18
Cessna,2,VMC,Landing,2.0,0.0,0.0,Cessna — 421B
Cessna,1,VMC,Landing,2.0,0.0,0.0,Cessna — 180
Cessna,2,VMC,Climb,2.0,1.0,0.0,Cessna — T337G
Cessna,1,VMC,Maneuvering,1.0,1.0,0.0,Cessna — A188B
Mooney,1,VMC,Taxi,1.0,0.0,0.0,Mooney — M20J
Beech,1,VMC,Takeoff,1.0,0.0,0.0,Beech — BE-77
Maule,1,VMC,Approach,2.0,0.0,0.0,Maule — M-5-235
Cessna,1,VMC,Landing,2.0,0.0,0.0,Cessna — 182P
Air Tractor,1,VMC,Cruise,1.0,0.0,0.0,Air Tractor — AT-502
Cessna,1,VMC,Takeoff,2.0,0.0,0.0,Cessna — 182
Cessna,1,VMC,Cruise,2.0,0.0,0.0,Cessna — 180
Cessna,1,VMC,Approach,1.0,0.0,0.0,Cessna — 210 D
Cessna,1,VMC,Landing,2.0,0.0,0.0,Cessna — 195
Air Tractor,1,VMC,Takeoff,1.0,0.0,0.0,Air Tractor — AT-502B
Mooney,1,VMC,Landing,1.0,0.0,0.0,Mooney — M20-C
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — 182
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — 172R
Cessna,1,VMC,Takeoff,2.0,0.0,0.0,Cessna — 172B
Cessna,1,VMC,Taxi,1.0,0.0,0.0,Cessna — 182H
Aviat,1,VMC,Takeoff,1.0,0.0,0.0,Aviat — HUSKY A-1B
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — 140
Cessna,1,VMC,Landing,3.0,0.0,0.0,Cessna — R182
Piper,1,VMC,Landing,1.0,0.0,0.0,Piper — PA-28-180
Piper,1,VMC,Landing,1.0,0.0,0.0,Piper — PA28-140
Piper,1,VMC,Descent,1.0,0.0,0.0,Piper — PA-32R-301T
Cessna,1,VMC,Go-around,1.0,0.0,0.0,Cessna — 150L
Beech,2,VMC,Landing,2.0,0.0,0.0,Beech — D55
De Havilland,1,VMC,Maneuvering,9.0,1.0,1.0,De Havilland — DHC-2
Mooney,1,VMC,Landing,5.0,0.0,0.0,Mooney — M20M
Cessna,1,VMC,Landing,2.0,0.0,0.0,Cessna — 140
Maule,1,VMC,Landing,1.0,0.0,0.0,Maule — M7
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — 172L
Cessna,1,VMC,Taxi,1.0,0.0,0.0,Cessna — U206G
Cessna,1,VMC,Takeoff,4.0,0.0,0.0,Cessna — 172
Cessna,1,VMC,Takeoff,1.0,0.0,0.0,Cessna — A185F
Cessna,1,VMC,Approach,2.0,0.0,0.0,Cessna — 172K
Beech,1,VMC,Takeoff,4.0,0.5,0.0,Beech — C24R
Air Tractor,1,VMC,Maneuvering,1.0,0.0,0.0,Air Tractor — AT-301
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — 152
Socata,1,VMC,,2.0,1.0,0.0,Socata — TB-20 TRINIDAD
Piper,1,VMC,Maneuvering,1.0,0.0,0.0,Piper — PA-25-235
Cessna,1,VMC,Takeoff,1.0,0.0,0.0,Cessna — 210L
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — C172N
Piper,1,IMC,,1.0,1.0,1.0,Piper — PA-32-260
Cessna,1,VMC,Takeoff,2.0,0.0,1.0,Cessna — 180
Cessna,1,IMC,,2.0,0.0,0.0,Cessna — 172
Piper,1,VMC,Takeoff,3.0,0.0,0.0,Piper — PA-28-180
Cessna,1,VMC,Maneuvering,1.0,1.0,0.0,Cessna — P206
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — 182R
Beech,2,VMC,Landing,2.0,0.0,0.0,Beech — BE-76
Air Tractor,1,VMC,Takeoff,1.0,0.0,0.0,Air Tractor — AT-502B
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — 172S
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — 182Q
Piper,1,VMC,Landing,1.0,0.0,0.0,Piper — PA-28-181
Cessna,1,VMC,Takeoff,1.0,0.0,0.0,Cessna — C172R
Luscombe,1,VMC,Landing,1.0,0.0,0.0,Luscombe — 8A
Piper,1,VMC,Landing,2.0,0.0,0.0,Piper — PA-18-150
Mooney,,VMC,Takeoff,3.0,0.0,0.0,Mooney — M20K
Cessna,1,VMC,Landing,2.0,0.0,0.0,Cessna — 182P
Cessna,1,VMC,Cruise,2.0,0.0,0.0,Cessna — T210N
Boeing,1,VMC,Takeoff,1.0,0.0,0.0,Boeing — 1942
Beech,1,VMC,Climb,5.0,1.0,1.0,Beech — A36
Ayres,1,VMC,Takeoff,1.0,1.0,0.0,Ayres — SR2
Piper,1,VMC,Go-around,2.0,0.0,0.0,Piper — PA-28-181
Maule,1,VMC,Landing,4.0,0.0,0.0,Maule — M5-210C
Cessna,1,VMC,Approach,1.0,1.0,1.0,Cessna — 150J
Piper,2,VMC,Landing,3.0,0.0,0.0,Piper — PA-34-200T
Aeronca,1,VMC,Approach,1.0,0.0,0.0,Aeronca — O-58B
Cessna,1,VMC,Landing,2.0,0.0,0.0,Cessna — 182P
Aeronca,1,VMC,Takeoff,2.0,0.0,0.0,Aeronca — S15AC
Bellanca,1,VMC,Maneuvering,1.0,1.0,1.0,Bellanca — 8KCAB-180
Piper,1,VMC,Landing,1.0,0.0,0.0,Piper — PA28-161
Cessna,1,VMC,Cruise,1.0,0.0,0.0,Cessna — 208B
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — 172M
Piper,2,VMC,Cruise,1.0,0.0,0.0,Piper — PA-23-250
Piper,1,VMC,Cruise,3.0,1.0,1.0,Piper — PA-28-140
Piper,1,VMC,Go-around,1.0,0.0,0.0,Piper — PA-28-181
Cessna,1,VMC,Cruise,1.0,0.0,0.0,Cessna — 172
Beech,2,VMC,Landing,3.0,0.0,0.0,Beech — BE-55
Cessna,1,VMC,Landing,5.0,0.0,0.0,Cessna — 172N
Stinson,1,VMC,Landing,1.0,0.0,0.0,Stinson — 108-2
Cessna,1,VMC,Landing,2.0,0.0,0.0,Cessna — 140
Mooney,1,VMC,Landing,1.0,0.0,0.0,Mooney — M20TN
Cessna,1,VMC,Takeoff,3.0,0.0,0.0,Cessna — 177
Piper,1,VMC,Landing,3.0,0.0,0.0,Piper — PA-28-140
Cessna,1,VMC,Takeoff,4.0,0.0,0.0,Cessna — 185
Mooney,1,VMC,Landing,1.0,0.0,0.0,Mooney — M20D
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — 172 SKYHAWK
Mooney,1,VMC,Landing,1.0,0.0,0.0,Mooney — M20C
Cessna,1,VMC,Approach,2.0,0.0,0.0,Cessna — 172L
Maule,1,VMC,Takeoff,1.0,0.0,0.0,Maule — M-4-220C
Aviat,1,VMC,Landing,2.0,0.0,0.0,Aviat — A-1B
Piper,1,VMC,Takeoff,1.0,0.0,0.0,Piper — J3L-65
Piper,1,VMC,Landing,1.0,0.0,0.0,Piper — PA-28R-200
Piper,1,IMC,Cruise,1.0,1.0,1.0,Piper — PA-32R-301
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — U206G
Beech,2,VMC,Descent,1.0,0.0,0.0,Beech — C-90
Bellanca,1,VMC,Cruise,1.0,1.0,0.0,Bellanca — 17-30A
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — 177RG
Piper,1,VMC,Cruise,1.0,0.0,0.0,Piper — PA-24-180
Aeronca,1,VMC,Landing,1.0,0.0,0.0,Aeronca — 7AC
Piper,1,VMC,Takeoff,1.0,0.0,0.0,Piper — PA 28-140
Piper,1,VMC,Landing,1.0,0.0,0.0,Piper — PA-28-180
Piper,1,VMC,Takeoff,2.0,0.0,0.0,Piper — PA-22-150
Cessna,2,VMC,Landing,2.0,0.0,0.0,Cessna — 340A
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — 190
Cessna,1,VMC,Landing,3.0,0.0,0.0,Cessna — 182Q
Cessna,1,VMC,Landing,2.0,0.0,0.0,Cessna — 182P
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — 172
Piper,1,VMC,Landing,5.0,0.0,0.0,Piper — PA-32
Beech,2,VMC,Takeoff,1.0,1.0,1.0,Beech — H-18
North American,1,IMC,Cruise,1.0,1.0,1.0,North American — NAVION
Grumman,1,VMC,Takeoff,1.0,1.0,0.0,Grumman — AA-5A
Beech,1,VMC,Approach,2.0,0.0,0.0,Beech — C23
North American,1,VMC,Takeoff,1.0,0.0,0.0,North American — SNJ-5
Cessna,1,VMC,Takeoff,2.0,1.0,0.0,Cessna — 180
Piper,1,VMC,Takeoff,2.0,0.0,0.0,Piper — J3
Cessna,1,VMC,Cruise,2.0,0.0,0.0,Cessna — 150L
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — A185F
Piper,1,VMC,Approach,2.0,0.0,0.0,Piper — PA-28-140
Taylorcraft,1,VMC,Landing,2.0,0.0,0.0,Taylorcraft — BC12-D
Piper,1,VMC,Takeoff,2.0,0.0,0.0,Piper — PA-12
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — 172
Piper,2,IMC,Landing,1.0,0.0,0.0,Piper — PA-31-350
McDonnell Douglas,2,VMC,Climb,143.0,0.0,0.0,McDonnell Douglas — DC-9-82 (MD-82)
Luscombe,1,VMC,Landing,1.0,0.0,0.0,Luscombe — 8E
Piper,1,VMC,Standing,1.0,0.0,0.0,Piper — J5A
Piper,1,VMC,Landing,2.0,0.0,0.0,Piper — PA-24-250
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 172P
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — 172 SP
Beech,1,VMC,Approach,2.0,0.0,0.0,Beech — F33A
Piper,1,VMC,Landing,1.0,0.0,0.0,Piper — PA-28-140
Bellanca,1,VMC,Landing,2.0,0.0,0.0,Bellanca — 7GCBC
Cessna,1,VMC,Standing,4.0,0.0,0.0,Cessna — 182F
Piper,1,VMC,Landing,2.0,0.0,0.0,Piper — PA-32R-301T
Piper,1,VMC,Standing,1.0,0.0,0.0,Piper — PA 28-151
Piper,1,VMC,Cruise,1.0,0.0,0.0,Piper — PA-28-180
Piper,1,VMC,Taxi,1.0,0.0,0.0,Piper — PA28-161
Cessna,1,VMC,Landing,2.0,0.0,0.0,Cessna — 170A
Cessna,1,VMC,Takeoff,1.0,0.0,0.0,Cessna — 172N
Cessna,1,VMC,Landing,2.0,0.0,0.0,Cessna — 182
Piper,1,VMC,Cruise,1.0,0.0,0.0,Piper — PA-18-150
Raytheon Aircraft Company,2,IMC,Descent,3.0,1.0,1.0,Raytheon Aircraft Company — C90A
Bellanca,1,VMC,Cruise,1.0,1.0,0.0,Bellanca — 7GCBC
Piper,1,IMC,Cruise,1.0,1.0,0.0,Piper — PA-28-140
Cessna,1,VMC,Takeoff,2.0,0.0,0.0,Cessna — 150H
Bellanca,1,VMC,Takeoff,1.0,1.0,0.0,Bellanca — 7GCAA
Cessna,1,VMC,Takeoff,4.0,0.0,0.0,Cessna — 172N
Beech,1,VMC,Takeoff,2.0,0.0,0.0,Beech — N35
Cessna,1,VMC,Landing,2.0,0.0,0.0,Cessna — 170A
Beech,1,VMC,Cruise,2.0,0.0,0.0,Beech — G35
Cessna,1,VMC,Landing,2.0,0.0,0.0,Cessna — 182P
Aviat,1,VMC,Approach,1.0,0.0,0.0,Aviat — A-1
Stinson,1,VMC,Landing,3.0,0.0,0.0,Stinson — 108-2
Cessna,1,VMC,Approach,1.0,0.0,0.0,Cessna — 210C
Cessna,1,VMC,Landing,2.0,0.0,0.0,Cessna — TURBO CENTURION T210
De Havilland,1,VMC,Approach,3.0,0.0,0.0,De Havilland — DHC-2
Beech,2,IMC,Descent,1.0,1.0,1.0,Beech — D55
Cessna,1,IMC,Maneuvering,10.0,1.0,1.0,Cessna — 208B
Cessna,1,VMC,Takeoff,2.0,1.0,1.0,Cessna — 150L
Cessna,1,VMC,Landing,2.0,0.0,0.0,Cessna — 150M
Piper,1,VMC,Landing,2.0,0.0,0.0,Piper — PA-22/20
Cessna,1,VMC,Cruise,1.0,0.0,0.0,Cessna — 172L
Air Tractor,1,VMC,Takeoff,1.0,0.0,0.0,Air Tractor — 402B
Cessna,1,VMC,Landing,2.0,0.0,0.0,Cessna — 172R
Air Tractor,1,VMC,Landing,1.0,0.0,0.0,Air Tractor — AT-602
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — 172R
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — 172
Cessna,1,VMC,Landing,2.0,0.0,0.0,Cessna — 150M
Piper,1,VMC,Landing,4.0,0.0,0.0,Piper — PA-30
Maule,1,VMC,Landing,2.0,0.0,0.0,Maule — M-5-235-C
Cessna,1,VMC,Cruise,1.0,0.0,0.0,Cessna — U206G
Cessna,1,VMC,Takeoff,3.0,0.0,0.0,Cessna — 182
Cessna,1,VMC,Takeoff,1.0,0.0,0.0,Cessna — 152
Cessna,1,VMC,Takeoff,3.0,0.0,1.0,Cessna — C-182
Cessna,1,VMC,Approach,1.0,0.0,0.0,Cessna — 152
Cessna,1,VMC,Taxi,2.0,0.0,0.0,Cessna — 172N
Cessna,1,VMC,Go-around,2.0,0.0,0.0,Cessna — 150K
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — 172R
Taylorcraft,1,VMC,Takeoff,2.0,0.0,0.0,Taylorcraft — F-19
Beech,,VMC,,2.0,1.0,1.0,Beech — A36
Taylorcraft,1,VMC,Approach,2.0,0.0,0.0,Taylorcraft — DCO-65
Piper,2,VMC,Cruise,2.0,1.0,0.0,Piper — PA-44-180
Piper,1,VMC,Landing,1.0,0.0,0.0,Piper — PA-18
Cessna,1,VMC,Landing,2.0,0.0,0.0,Cessna — 172N
Piper,1,VMC,Go-around,1.0,0.0,0.0,Piper — PA-18
Piper,1,VMC,Approach,3.0,0.6666666666666666,0.0,Piper — PA-28-140
Beech,1,VMC,Go-around,2.0,0.0,0.0,Beech — A36
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — 172
Piper,1,VMC,Cruise,2.0,1.0,1.0,Piper — PA-28R-200
Piper,1,VMC,Cruise,3.0,1.0,0.0,Piper — PA-28-181
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — 172M
Boeing,2,,Standing,0.0,,0.0,Boeing — 757-225
Cessna,1,VMC,Takeoff,1.0,0.0,0.0,Cessna — 172R
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — 152
Piper,1,VMC,Taxi,2.0,0.0,0.0,Piper — PA-18-150
Ayres,1,VMC,Cruise,1.0,0.0,0.0,Ayres — S2-R
Mooney,1,VMC,Cruise,1.0,0.0,0.0,Mooney — M20E
Piper,1,VMC,Landing,2.0,0.0,0.0,Piper — PA-28-151
Aeronca,1,VMC,Landing,1.0,0.0,0.0,Aeronca — 7AC
Cessna,1,VMC,Approach,1.0,0.0,0.0,Cessna — TP206A
Bellanca,1,VMC,Landing,2.0,0.0,0.0,Bellanca — 7GCBC
Cessna,1,VMC,Maneuvering,1.0,1.0,0.0,Cessna — 172I
Piper,2,VMC,Taxi,6.0,0.0,0.0,Piper — PA-31-350
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — 140
Piper,1,VMC,Landing,2.0,0.0,0.0,Piper — PA-18-150
Cessna,1,VMC,Taxi,1.0,0.0,0.0,Cessna — 172
Beech,2,VMC,Taxi,2.0,0.0,0.0,Beech — E18S
Cessna,1,VMC,Taxi,2.0,0.0,0.0,Cessna — C208B
Cessna,2,IMC,Approach,3.0,1.0,1.0,Cessna — 340
Beech,2,IMC,Takeoff,2.0,1.0,1.0,Beech — A100
Beech,1,VMC,Cruise,2.0,0.0,0.0,Beech — A36
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — 152
Cessna,1,VMC,Climb,2.0,1.0,1.0,Cessna — T182T
Air Tractor,1,VMC,Maneuvering,1.0,0.0,0.0,Air Tractor — AT-502
Piper,1,VMC,Landing,1.0,0.0,0.0,Piper — PA-22-150
Piper,2,VMC,Descent,3.0,1.0,1.0,Piper — PA-60-602P
Piper,1,VMC,Maneuvering,1.0,1.0,0.0,Piper — PA-25-235
Piper,2,IMC,Takeoff,1.0,0.0,0.0,Piper — PA-34-200T
Maule,1,VMC,Landing,1.0,0.0,0.0,Maule — MX-7-180A
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — 180
Piper,2,VMC,Landing,1.0,0.0,0.0,Piper — PA-31-350
Piper,1,VMC,Takeoff,4.0,0.0,0.0,Piper — PA-28-180
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — 180
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — 120
Piper,1,VMC,Approach,2.0,0.0,0.0,Piper — PA-28-140
Piper,1,VMC,Cruise,3.0,1.0,1.0,Piper — PA-28R-200
Piper,1,VMC,Landing,2.0,0.0,0.0,Piper — PA-28-140
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — 172N
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — 172N
Cessna,1,VMC,Landing,2.0,0.0,0.0,Cessna — 150
Boeing,2,VMC,Climb,138.0,0.0,0.0,Boeing — 737-300
Cessna,1,VMC,Landing,4.0,0.0,0.0,Cessna — 172
Cessna,1,VMC,Cruise,1.0,0.0,0.0,Cessna — 170B
Ayres,1,VMC,Landing,1.0,0.0,0.0,Ayres — S2R-G1
Mooney,1,IMC,Takeoff,1.0,1.0,1.0,Mooney — M20K
Cirrus,1,IMC,Approach,3.0,1.0,0.0,Cirrus — SR20
Cessna,1,VMC,Cruise,3.0,0.0,0.0,Cessna — 172N
Piper,1,VMC,Landing,1.0,0.0,0.0,Piper — PA-18A-135
Cessna,2,IMC,Approach,1.0,1.0,0.0,Cessna — 310R
Cessna,1,VMC,Go-around,1.0,0.0,0.0,Cessna — 152
Cessna,1,VMC,Climb,3.0,1.0,1.0,Cessna — T210M
Mooney,1,IMC,Approach,1.0,1.0,0.0,Mooney — M20J
Piper,1,VMC,Landing,1.0,0.0,0.0,Piper — PA-28-161
Cessna,1,VMC,Maneuvering,2.0,1.0,0.0,Cessna — 172N
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — 172P
Aeronca,1,IMC,Landing,1.0,0.0,0.0,Aeronca — 7JC
Beech,1,VMC,Landing,1.0,0.0,0.0,Beech — A23
Piper,1,VMC,Takeoff,2.0,0.0,0.0,Piper — PA-18-135
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — 152
Cessna,1,VMC,Go-around,2.0,0.0,0.0,Cessna — 172N
Cirrus,1,VMC,Landing,2.0,0.0,1.0,Cirrus — SR22
Cessna,2,VMC,Landing,8.0,0.0,0.0,Cessna — 551
Beech,2,VMC,Taxi,1.0,1.0,1.0,Beech — 60
Piper,1,VMC,Cruise,1.0,1.0,0.0,Piper — PA-28R-200
Cessna,2,IMC,Takeoff,2.0,1.0,1.0,Cessna — 208B
Piper,1,VMC,Approach,2.0,0.0,0.0,Piper — PA-28-180
Air Tractor,1,VMC,Maneuvering,1.0,1.0,1.0,Air Tractor — AT-401
Cessna,1,VMC,,2.0,1.0,1.0,Cessna — R182
Cessna,1,VMC,Takeoff,1.0,0.0,0.0,Cessna — 182
Piper,1,VMC,Approach,1.0,0.0,0.0,Piper — PA-22-150
Cessna,1,IMC,Approach,2.0,1.0,0.0,Cessna — T210N
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — 172
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — SKYHAWK 172
Cessna,1,VMC,Cruise,2.0,1.0,1.0,Cessna — 152
Piper,2,VMC,Cruise,2.0,1.0,1.0,Piper — PA-30
Beech,1,IMC,Approach,1.0,1.0,0.0,Beech — H35
Cessna,1,VMC,Takeoff,1.0,0.0,1.0,Cessna — 172E
Beech,2,IMC,Takeoff,4.0,0.5,1.0,Beech — 200
Beech,1,VMC,Cruise,3.0,1.0,1.0,Beech — A36TC
Piper,2,VMC,Landing,2.0,0.0,0.0,Piper — PA-31T
Beech,2,VMC,Approach,1.0,0.0,0.0,Beech — BE-55
Maule,1,VMC,Landing,4.0,0.0,0.0,Maule — M-7-235
Piper,1,VMC,Cruise,2.0,0.0,0.0,Piper — PA32-260
Cessna,1,VMC,Taxi,1.0,0.0,0.0,Cessna — 172S
Embraer,2,IMC,Standing,5.0,0.0,0.0,Embraer — EMB-190
Boeing,4,IMC,Taxi,5.0,0.0,0.0,Boeing — B747-433BCF
Boeing,2,VMC,Approach,264.0,0.003787878787878788,0.0,Boeing — 777-222
Mooney,,VMC,Cruise,2.0,0.5,1.0,Mooney — M20C
Bombardier,2,IMC,Landing,34.0,0.0,0.0,Bombardier — CL600-2B19
Grumman,1,VMC,,1.0,0.0,0.0,Grumman — G164A
Embraer,2,VMC,Standing,53.0,0.0,0.0,Embraer — 145
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — 172N
Cessna,2,VMC,Taxi,1.0,0.0,0.0,Cessna — 310R
Cessna,1,VMC,Climb,2.0,0.5,0.0,Cessna — 208B
Cirrus,,,,2.0,1.0,0.0,Cirrus — SR22
Cessna,2,VMC,Cruise,2.0,0.0,0.0,Cessna — CITATION 510
Cessna,2,VMC,Takeoff,2.0,0.0,0.0,Cessna — 310P
Piper,1,VMC,Landing,1.0,0.0,0.0,Piper — PA28-180
Cessna,1,VMC,Landing,3.0,0.0,0.0,Cessna — 210
Piper,1,IMC,Cruise,1.0,1.0,1.0,Piper — PA-32R-300
Beech,1,IMC,Approach,3.0,1.0,1.0,Beech — V35B
Cessna,2,,,2.0,1.0,1.0,Cessna — 310
Cessna,1,VMC,Maneuvering,4.0,0.0,0.0,Cessna — 170B
Mooney,1,IMC,Approach,1.0,0.0,0.0,Mooney — M20F
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — 182
Champion,1,VMC,Landing,2.0,0.0,0.0,Champion — 7GCAA
Piper,1,VMC,Cruise,1.0,0.0,0.0,Piper — PA-18-150
Piper,1,VMC,Climb,2.0,0.0,0.0,Piper — PA-32R
McDonnell Douglas,2,VMC,Descent,114.0,0.017543859649122806,,McDonnell Douglas — DC-9-83
Cessna,1,VMC,Taxi,1.0,0.0,0.0,Cessna — 172S
Cessna,1,VMC,Takeoff,1.0,0.0,0.0,Cessna — 182R
Mooney,1,VMC,Takeoff,2.0,0.0,0.0,Mooney — M20E
Cessna,1,VMC,Takeoff,2.0,0.0,0.0,Cessna — 172P
Piper,1,VMC,Go-around,2.0,0.0,0.0,Piper — PA-22-150
Piper,1,VMC,Climb,4.0,0.0,0.0,Piper — PA-46-310P
Cessna,2,IMC,Approach,2.0,1.0,1.0,Cessna — 310R
Cessna,1,VMC,Takeoff,1.0,0.0,0.0,Cessna — 172
Piper,1,VMC,Takeoff,5.0,0.0,0.0,Piper — PA-46-310P
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — 172F
Piper,1,VMC,Landing,2.0,0.0,0.0,Piper — PA-12
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 152
Beech,1,VMC,,3.0,0.0,0.0,Beech — A36
Boeing,,,,0.0,,0.0,Boeing — 737-400
Cessna,1,VMC,,1.0,1.0,0.0,Cessna — R172K
Piper,2,VMC,,10.0,0.7,0.0,Piper — PA-31-350
Piper,1,VMC,,2.0,0.0,0.0,Piper — PA-32R-300
Piper,1,VMC,,2.0,0.0,0.0,Piper — PA-28-161
Cessna,1,VMC,,2.0,0.0,0.0,Cessna — 170A
Boeing,,,,334.0,0.0,0.0,Boeing — 747-400
Bellanca,1,VMC,,2.0,0.0,0.0,Bellanca — 7GCBC
Boeing,2,VMC,,38.0,0.0,,Boeing — 737-2H4
Cessna,1,VMC,,2.0,0.0,0.0,Cessna — 150G
Cessna,,VMC,,6.0,1.0,1.0,Cessna — 210M
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — C-152
Cessna,1,VMC,,2.0,0.0,0.0,Cessna — 172M
Cessna,2,VMC,,4.0,1.0,0.0,Cessna — 340
Cessna,1,VMC,,3.0,1.0,0.0,Cessna — 172L
Piper,,,,2.0,1.0,0.0,Piper — PA-28-181
Piper,1,VMC,,1.0,0.0,0.0,Piper — PA-24-250
Piper,1,VMC,,1.0,0.0,0.0,Piper — PA-32-300
Piper,1,VMC,,2.0,0.5,0.0,Piper — PA-12
Cessna,1,,,6.0,0.0,0.0,Cessna — TU206G
Piper,1,VMC,,1.0,0.0,0.0,Piper — PA-32-260
Cessna,1,VMC,,5.0,0.2,0.0,Cessna — 208B
Beech,,VMC,,2.0,1.0,1.0,Beech — C90B
Cessna,1,IMC,,1.0,0.0,0.0,Cessna — 207
Beech,2,VMC,,2.0,0.0,0.0,Beech — 58P
Boeing,,,,193.0,0.010362694300518135,0.0,Boeing — 777-236ER
Aero Commander,2,IMC,,1.0,1.0,0.0,Aero Commander — 500B
Piper,1,VMC,,4.0,0.0,0.0,Piper — PA-32-301XTC
Cessna,,VMC,,1.0,0.0,0.0,Cessna — A188B
Piper,1,IMC,,1.0,1.0,1.0,Piper — PA46-500TP
Beech,,IMC,,13.0,1.0,1.0,Beech — 200
Cessna,1,VMC,,4.0,1.0,1.0,Cessna — 172N
Cessna,1,VMC,,3.0,0.0,0.0,Cessna — U206F
Luscombe,1,VMC,,1.0,0.0,0.0,Luscombe — 8E
Cessna,,IMC,,2.0,1.0,0.0,Cessna — 177B
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 172N
Beech,,VMC,,3.0,0.6666666666666666,0.0,Beech — 58P
Beech,2,VMC,,1.0,0.0,0.0,Beech — 58
Cessna,,,,0.0,,,Cessna — C208B CARAVAN
Piper,1,VMC,,2.0,1.0,0.0,Piper — PA-28-R200
Cessna,1,VMC,,3.0,0.3333333333333333,0.0,Cessna — 172N
Airbus,2,VMC,,107.0,0.0,,Airbus — A320
